tactic_id,ordinal,node_id,node_kind,execution_class,author_inputs,predecessor_inputs,framework_dependencies,generated_outputs,manual_obligations
CT1,1,CT1.entry,entry,definitional,0,1,0,1,0
CT1,2,CT1.certify.equivalence,certification,definitional,3,0,1,1,0
CT1,3,CT1.decide.realization,decision,finiteSearch,10,1,4,3,0
CT1,4,CT1.terminal.c1,certificate,genericTheorem,0,1,1,1,0
CT1,5,CT1.terminal.avoiding,residual,genericTheorem,0,1,1,1,0
CT2,1,CT2.entry,entry,definitional,0,1,0,1,0
CT2,2,CT2.decide.deletion,decision,verifiedComputation,3,1,3,3,0
CT2,3,CT2.search.replacements,computation,finiteSearch,12,1,5,5,0
CT2,4,CT2.terminal.c2.deletion,certificate,genericTheorem,0,1,1,1,0
CT2,5,CT2.terminal.c2.replacement,certificate,genericTheorem,0,1,1,1,0
CT2,6,CT2.terminal.residual.separatingContext,residual,genericTheorem,0,1,1,1,0
CT2,7,CT2.terminal.residual.criticality,residual,genericTheorem,0,1,1,1,0
CT3,1,CT3.entry,entry,definitional,0,2,0,1,0
CT3,2,CT3.compute.exact-vector,computation,definitional,1,1,1,1,0
CT3,3,CT3.search.compression,computation,finiteSearch,8,1,3,3,0
CT3,4,CT3.validate.table,definition,finiteSearch,5,1,1,3,0
CT3,5,CT3.lookup.exact-row,definition,finiteSearch,4,1,3,3,0
CT3,6,CT3.terminal.compression,certificate,genericTheorem,0,1,1,1,0
CT3,7,CT3.terminal.distinguishing-context,residual,genericTheorem,0,1,1,1,0
CT3,8,CT3.terminal.known-row,certificate,genericTheorem,0,1,1,1,0
CT3,9,CT3.terminal.novel-row,residual,genericTheorem,0,1,1,1,0
CT4,1,CT4.entry,entry,definitional,0,0,0,1,0
CT4,2,CT4.compute.assignment,computation,finiteSearch,3,1,2,1,0
CT4,3,CT4.search.availability,computation,finiteSearch,1,1,1,3,0
CT4,4,CT4.compute.fibres,computation,verifiedComputation,4,1,1,3,0
CT4,5,CT4.decide.capacity,decision,verifiedComputation,3,1,1,3,0
CT4,6,CT4.terminal.residual.missingPayer,residual,genericTheorem,0,1,1,1,0
CT4,7,CT4.terminal.residual.overloadedFibre,residual,genericTheorem,0,1,1,1,0
CT4,8,CT4.terminal.c4,certificate,genericTheorem,0,1,1,1,0
CT4,9,CT4.terminal.residual.capacity,residual,genericTheorem,0,1,1,1,0
CT5,1,CT5.entry,entry,definitional,0,0,0,1,0
CT5,2,CT5.search.deficit,computation,finiteSearch,6,0,2,3,0
CT5,3,CT5.compute.summation,computation,verifiedComputation,7,1,1,1,0
CT5,4,CT5.decide.comparison,decision,verifiedComputation,2,1,0,4,0
CT5,5,CT5.terminal.residual.localDeficit,residual,genericTheorem,0,1,1,1,0
CT5,6,CT5.terminal.c4,certificate,genericTheorem,0,1,1,1,0
CT5,7,CT5.terminal.residual.chargeLedger,residual,genericTheorem,0,1,1,1,0
CT5,8,CT5.terminal.residual.aggregate,residual,genericTheorem,0,1,1,1,0
CT6,1,CT6.entry,entry,definitional,0,0,0,1,0
CT6,2,CT6.search.firstFailure,computation,finiteSearch,5,0,2,3,0
